word,syllable
a,No syllable
abandon,aban-​don
ability,abil-​i-​ty
able,No syllable
abortion,abor-​tion
about,No syllable
above,No syllable
abroad,No syllable
absence,ab-​sence
absolute,ab-​so-​lute
absolutely,ab-​so-​lute-​ly
absorb,ab-​sorb
abuse,No syllable
academic,ac-​a-​dem-​ic
accept,ac-​cept
access,ac-​cess
accident,ac-​ci-​dent
accompany,ac-​com-​pa-​ny
accomplish,ac-​com-​plish
according,ac-​cord
account,ac-​count
accurate,ac-​cu-​rate
accuse,ac-​cuse
achieve,No syllable
achievement,achieve-​ment
acid,ac-​id
acknowledge,ac-​knowl-​edge
acquire,ac-​quire
across,No syllable
act,No syllable
action,ac-​tion
active,ac-​tive
activist,ac-​tiv-​ist
activity,ac-​tiv-​i-​ty
actor,ac-​tor
actress,ac-​tress
actual,ac-​tu-​al
actually,ac-​tu-​al-​ly
ad,No syllable
adapt,No syllable
add,No syllable
addition,ad-​di-​tion
additional,ad-​di-​tion-​al
address,ad-​dress
adequate,ad-​e-​quate
adjust,ad-​just
adjustment,ad-​just-​ment
administration,ad-​min-​is-​tra-​tion
administrator,ad-​min-​is-​tra-​tor
admire,ad-​mire
admission,ad-​mis-​sion
admit,ad-​mit
adolescent,ad-​o-​les-​cent
adopt,No syllable
adult,No syllable
advance,ad-​vance
advanced,ad-​vanced
advantage,ad-​van-​tage
adventure,ad-​ven-​ture
advertising,ad-​ver-​tis-​ing
advice,ad-​vice
advise,ad-​vise
adviser,ad-​vis-​er
advocate,ad-​vo-​cate
affair,af-​fair
affect,af-​fect
afford,af-​ford
afraid,No syllable
African,Af-​ri-​can
African-American,No syllable
after,af-​ter
afternoon,af-​ter-​noon
again,No syllable
against,No syllable
age,No syllable
agency,agen-​cy
agenda,agen-​da
agent,No syllable
aggressive,ag-​gres-​sive
ago,No syllable
agree,No syllable
agreement,agree-​ment
agricultural,ag-​ri-​cul-​tur-​al
ah,No syllable
ahead,No syllable
aid,No syllable
aide,No syllable
AIDS,No syllable
aim,No syllable
air,No syllable
aircraft,air-​craft
airline,air-​line
airport,air-​port
album,al-​bum
alcohol,al-​co-​hol
alive,No syllable
all,No syllable
alliance,al-​li-​ance
allow,al-​low
ally,al-​ly
almost,al-​most
alone,No syllable
along,No syllable
already,al-​ready
also,al-​so
alter,al-​ter
alternative,al-​ter-​na-​tive
although,al-​though
always,al-​ways
AM,No syllable
amazing,amaz-​ing
American,Amer-​i-​can
among,No syllable
amount,No syllable
analysis,anal-​y-​sis
analyst,an-​a-​lyst
analyze,an-​a-​lyze
ancient,an-​cient
and,No syllable
anger,an-​ger
angle,an-​gle
angry,an-​gry
animal,an-​i-​mal
anniversary,an-​ni-​ver-​sa-​ry
announce,an-​nounce
annual,an-​nu-​al
another,an-​oth-​er
answer,an-​swer
anticipate,an-​tic-​i-​pate
anxiety,anx-​i-​ety
any,No syllable
anybody,any-​body
anymore,any-​more
anyone,any-​one
anything,any-​thing
anyway,any-​way
anywhere,any-​where
apart,No syllable
apartment,apart-​ment
apparent,ap-​par-​ent
apparently,ap-​par-​ent-​ly
appeal,ap-​peal
appear,ap-​pear
appearance,ap-​pear-​ance
apple,ap-​ple
application,ap-​pli-​ca-​tion
apply,ap-​ply
appoint,ap-​point
appointment,ap-​point-​ment
appreciate,ap-​pre-​ci-​ate
approach,ap-​proach
appropriate,ap-​pro-​pri-​ate
approval,ap-​prov-​al
approve,ap-​prove
approximately,ap-​prox-​i-​mate-​ly
Arab,Ar-​ab
architect,ar-​chi-​tect
area,ar-​ea
argue,ar-​gue
argument,ar-​gu-​ment
arise,No syllable
arm,No syllable
armed,No syllable
army,ar-​my
around,No syllable
arrange,ar-​range
arrangement,ar-​range-​ment
arrest,ar-​rest
arrival,ar-​riv-​al
arrive,ar-​rive
art,No syllable
article,ar-​ti-​cle
artist,art-​ist
artistic,ar-​tis-​tic
as,No syllable
Asian,No syllable
aside,No syllable
ask,No syllable
asleep,No syllable
aspect,as-​pect
assault,as-​sault
assert,as-​sert
assess,as-​sess
assessment,as-​sess-​ment
asset,as-​set
assign,as-​sign
assignment,as-​sign-​ment
assist,as-​sist
assistance,as-​sis-​tance
assistant,as-​sis-​tant
associate,as-​so-​ci-​ate
association,as-​so-​ci-​a-​tion
assume,as-​sume
assumption,as-​sump-​tion
assure,as-​sure
at,No syllable
athlete,ath-​lete
athletic,ath-​let-​ic
atmosphere,at-​mo-​sphere
attach,at-​tach
attack,at-​tack
attempt,at-​tempt
attend,at-​tend
attention,at-​ten-​tion
attitude,at-​ti-​tude
attorney,at-​tor-​ney
attract,at-​tract
attractive,at-​trac-​tive
attribute,at-​tri-​bute
audience,au-​di-​ence
author,au-​thor
authority,au-​thor-​i-​ty
auto,au-​to
available,avail-​able
average,av-​er-​age
avoid,No syllable
award,No syllable
aware,No syllable
awareness,aware-​ness
away,No syllable
awful,aw-​ful
baby,ba-​by
back,No syllable
background,back-​ground
bad,No syllable
badly,bad-​ly
bag,No syllable
